### DATA:
#
# 2167
#      Q             I(Q)           Error     
0.00000000E+00  0.00000000E+00  1.00000000E-10
4.42964563E-04  1.25000001E-01  1.16926794E-01
8.85929122E-04  3.75000011E-01  1.49869740E-01
1.32889367E-03  3.00000020E-01  1.24499004E-01
1.77185820E-03  2.91666701E-01  9.27804917E-02
2.21482272E-03  2.00000037E-01  6.32455650E-02
2.65778721E-03  1.38888926E-01  5.76384395E-02
3.10075167E-03  1.87500068E-01  6.35758337E-02
3.54371609E-03  1.96428665E-01  5.87912254E-02
3.98668048E-03  1.42857229E-01  4.67610047E-02
4.42964482E-03  2.50000186E-01  5.25105423E-02
4.87260911E-03  2.03125183E-01  5.02906438E-02
5.31557334E-03  1.87500201E-01  4.36382970E-02
5.75853752E-03  2.82609052E-01  5.39684980E-02
6.20150163E-03  2.27273059E-01  4.74757937E-02
6.64446568E-03  1.87500315E-01  3.98361568E-02
7.08742964E-03  2.60417164E-01  4.93992438E-02
7.53039353E-03  2.50000539E-01  4.20121351E-02
7.97335734E-03  2.16667190E-01  3.76079604E-02
8.41632106E-03  2.25000606E-01  3.99001561E-02
8.85928468E-03  1.77419884E-01  3.95875900E-02
9.30224820E-03  1.87500616E-01  3.53673885E-02
9.74521162E-03  2.50000902E-01  3.99368371E-02
1.01881749E-02  2.92858298E-01  4.34442811E-02
1.06311381E-02  2.30264147E-01  3.65951871E-02
1.10741012E-02  2.32143939E-01  3.66672378E-02
1.15170642E-02  2.61364954E-01  3.85266390E-02
1.19600270E-02  1.89025418E-01  3.17662087E-02
1.24029897E-02  2.14286967E-01  3.27576069E-02
1.28459522E-02  2.44793202E-01  3.27319145E-02
1.32889146E-02  2.18086570E-01  3.01173486E-02
1.37318769E-02  2.54809518E-01  3.51639095E-02
1.41748390E-02  2.50001909E-01  3.37271014E-02
1.46178009E-02  2.35578836E-01  2.94242313E-02
1.50607627E-02  2.10528130E-01  2.90586290E-02
1.55037243E-02  2.50002283E-01  3.29601789E-02
1.59466858E-02  2.32760870E-01  3.03051237E-02
1.63896471E-02  2.14914474E-01  2.79018129E-02
